Run,Validation Loss,Extrapolation Validation Loss,Parameter
northern-sweep-50,2.659235633473145e-06,0.02039569616317749,17
desert-sweep-49,0.00016831807442940772,0.4393857419490814,275
wandering-sweep-48,3.0511152999679325e-06,0.08127742260694504,101
fast-sweep-47,2.6006273401435465e-06,0.17064903676509857,224
warm-sweep-46,1.799670462787617e-05,0.07736610621213913,231
confused-sweep-45,2.114031531164074e-06,0.2750524580478668,361
sparkling-sweep-44,2.8864951673313044e-06,0.04663596302270889,313
toasty-sweep-43,9.805974059418077e-07,0.1595858335494995,180
sweet-sweep-42,1.3267232361613424e-06,0.07137449830770493,118
vital-sweep-41,3.955654847231926e-06,0.022975686937570572,171
ethereal-sweep-40,2.4368608137592673e-05,0.39819708466529846,240
vital-sweep-39,2.7856726774189156e-06,0.03900805488228798,211
likely-sweep-38,4.4208122744748835e-06,0.04957274720072746,244
blooming-sweep-37,1.2522773431555834e-05,0.28858688473701477,244
dandy-sweep-36,2.7413850602897583e-06,0.12639661133289337,226
upbeat-sweep-35,4.303937203076202e-06,0.061926186084747314,229
wise-sweep-34,1.1390603731342708e-06,0.02286441996693611,191
eternal-sweep-33,1.1422996522014728e-06,0.227989599108696,381
wild-sweep-32,2.9350180739129428e-06,0.023359661921858788,87
copper-sweep-31,3.327554168208735e-06,0.1599326729774475,106
vibrant-sweep-30,9.90183593785332e-07,0.012830900959670544,40
super-sweep-29,4.0634265729977415e-08,1.3355672479065106e-07,12
avid-sweep-28,5.8914181977343105e-08,0.0006863661110401154,27
vivid-sweep-27,0.00029167349566705525,0.05902828648686409,7
still-sweep-26,6.265660204007872e-07,0.005285873543471098,34
ruby-sweep-25,2.5153848781656052e-08,8.17121161844625e-08,10
grateful-sweep-24,7.765027731920783e-08,9.278189281758388e-06,22
colorful-sweep-23,0.000291710312012583,0.05902747064828873,8
fragrant-sweep-22,5.596124310613959e-07,0.001830336288549006,37
super-sweep-21,0.00029170577181503177,0.05902724340558052,8
comfy-sweep-20,6.32302459280254e-08,0.0001619604299776256,25
glowing-sweep-19,1.862159848542433e-07,0.00013840118481311947,34
peachy-sweep-18,2.738825521930721e-08,1.6268854707846003e-08,13
curious-sweep-17,2.524531737435609e-06,0.00016726265312172472,9
sunny-sweep-16,2.6834889865767764e-08,1.6200401020682875e-08,9
super-sweep-15,2.5350082069053315e-06,0.00018145253125112504,26
earnest-sweep-14,0.00029166718013584614,0.059029605239629745,7
earnest-sweep-13,2.4736303672057147e-08,1.4859006469691849e-08,10
helpful-sweep-12,2.64770481095411e-08,2.39824430536828e-07,13
apricot-sweep-11,1.1733787914636196e-06,0.0032530133612453938,43
silvery-sweep-10,4.5992297970087754e-08,1.9064264051849023e-05,25
crisp-sweep-9,2.5475854315004653e-08,1.5344070902756357e-08,12
genial-sweep-8,6.56973384138837e-07,3.8538448279723525e-05,15
denim-sweep-7,1.3442240742733702e-06,8.027975127333775e-05,19
revived-sweep-6,5.891016385817238e-08,3.029870640602894e-06,24
peach-sweep-5,2.718779867905141e-08,5.620320848720439e-07,13
quiet-sweep-4,2.363028443141957e-06,0.00015469973732251674,11
lunar-sweep-3,4.744361376651796e-06,0.03182638809084892,9
sunny-sweep-2,8.316070676528399e-08,3.980732344643911e-06,23
bright-sweep-1,1.8428323755870224e-06,0.00012160994083387776,12
