Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
frosty-sweep-4,0.0011771938297897,0.4163873791694641,93,0.04382736113418273
glowing-sweep-16,0.0058515728451311,0.3991678059101105,102,0.04383013381841734
floral-sweep-27,0.000507732911501,0.4230198860168457,136,0.04426119015824427
quiet-sweep-67,8.32522982818773e-06,0.4262805879116058,370,0.04440899151697726
atomic-sweep-24,0.002085558604449,0.4242332577705383,145,0.04499437316332362
wandering-sweep-5,0.0008423335966654,0.4301631152629852,115,0.045134340395987654
comfy-sweep-80,0.0002139309508493,0.4355419278144837,685,0.04545329428140554
solar-sweep-17,0.0007643609424121,0.4357475340366363,120,0.045686380262785424
drawn-sweep-26,0.0041261501610279,0.4271722733974457,121,0.04608535491326175
laced-sweep-22,0.0033896428067237,0.4354925751686096,102,0.046669308935708156
gallant-sweep-13,0.0032053710892796,0.439929336309433,102,0.04706086168085126
devoted-sweep-1,0.0050759157165884,0.4669084548950195,105,0.05059197761976349
young-sweep-20,0.0039098775014281,0.4796906113624573,119,0.051475790063131875
graceful-sweep-66,0.0097469352185726,0.460392951965332,934,0.05170906468611131
azure-sweep-8,0.0127987368032336,0.4637215733528137,121,0.05322949334464533
colorful-sweep-46,7.246035693242448e-06,0.5109484791755676,196,0.053232885700984084
solar-sweep-63,1.1099623407062609e-06,0.5459818243980408,175,0.05688179309950116
divine-sweep-81,7.346652273554355e-05,0.5508078932762146,944,0.05741260193574687
serene-sweep-56,0.000190930761164,0.6279210448265076,400,0.06549470495394326
happy-sweep-43,7.559005098300986e-06,0.6400290727615356,146,0.06668612325946839
lively-sweep-58,0.0002900527906604,0.6537081003189087,307,0.06822041480236128
rural-sweep-42,3.6263402307668e-06,0.6557250022888184,224,0.06832048187443382
zany-sweep-53,0.0001882563956314,0.6650390625,397,0.06936221350251044
sparkling-sweep-64,2.0138548279646784e-05,0.6726149916648865,430,0.07008715020998717
trim-sweep-19,0.0027068958152085,0.6700388789176941,105,0.07085180132427188
gallant-sweep-79,0.0018031748477369,0.693253219127655,518,0.07292375225677447
upbeat-sweep-29,0.0012820282718166,0.746331512928009,121,0.07825531412564263
worthy-sweep-25,0.0812601372599601,0.4846826195716858,104,0.08173961033083899
neat-sweep-62,0.0745630487799644,0.5137314200401306,690,0.08219191701835009
proud-sweep-7,0.0023302456829696,0.8008136749267578,106,0.08433665925285191
fast-sweep-88,0.1040143296122551,0.5069217085838318,519,0.09280710911995095
zany-sweep-82,0.0008065262809395,0.972429096698761,513,0.10163695085130958
copper-sweep-34,0.1370976418256759,0.5492308735847473,311,0.10993822617608116
electric-sweep-70,1.537872094559134e-06,1.1267396211624146,163,0.11741005481717583
ancient-sweep-37,5.567895641434006e-06,1.210180640220642,147,0.12610804582013113
upbeat-sweep-72,1.1272912843196536e-06,1.3690519332885742,302,0.14266432013366423
grateful-sweep-38,1.6777049722804804e-06,2.289657592773437,150,0.23861246244693005
lilac-sweep-60,3.2819993975863326e-06,2.392319440841675,82,0.24931276577496717
worthy-sweep-32,2.1752082375314785e-06,4.797635078430176,65,0.5000006296105998
apricot-sweep-85,1.3002872467041016,0.5550194978713989,520,0.5578235030856376
